english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
good,German,L_enb,true,tip,false,false,false,false,right,false,false,false,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
grass,German,1,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,DGS,WestEuro,DGS
grease,German,5,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
green,German,I,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,DGS,WestEuro,DGS
heavy,German,S,true,back_of_palm,false,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,DGS,WestEuro,DGS
how,German,Y,true,ulnar_side,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,DGS,WestEuro,DGS
husband,German,I,false,ulnar_side,false,false,false,false,right,false,false,true,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,1,DGS,WestEuro,DGS
ice,German,S,false,radial_side,true,false,true,false,right,false,false,false,false,0,mouth,head,Y_down,Y_down,Y_down false true,Y_down_Or,0,DGS,WestEuro,DGS
if,German,1,false,tip,false,false,false,false,right,false,false,false,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0,DGS,WestEuro,DGS
kill,German,1_nb,false,tip,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
laugh,German,L,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,chin,head,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
leaf,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,0,tip,hand,Z_front,Z_front,Z_front true false,Z_front_Hs,0,DGS,WestEuro,DGS
lie,German,1,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,chin,head,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
live,German,A,true,heel,true,false,true,false,right,false,false,false,false,1,Lateral,Lateral,false true,Or_Change,false true,Or,0,DGS,WestEuro,DGS
long,German,E,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,back_of_fingers,hand,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
look_for,German,V_nb,false,tip,true,false,false,false,right,false,false,false,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0,DGS,WestEuro,DGS
man,German,E,false,finger_fronts,false,true,false,false,right,false,false,false,false,0,top,head,X_right,X_right,X_right true false,X_right_Hs,0,DGS,WestEuro,DGS
meat,German,E_nb,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,radial_side,hand,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
moon,German,L,false,tip,false,true,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0,DGS,WestEuro,DGS
mother,German,1,false,radial_side,true,false,false,false,right,false,false,false,false,0,cheek,head,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
mountain,German,5,false,palm,false,false,true,false,right,false,false,false,false,0,Horizontal,Horizontal,X_right,X_right,X_right false true,X_right_Or,0,DGS,WestEuro,DGS
name,German,1,false,tip,true,true,false,false,right,false,false,false,false,0,cheek,head,true false,Hs_Change,true false,Hs,0,DGS,WestEuro,DGS
narrow,German,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
new,German,S,false,heel,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up true false,Y_up_Hs,0,DGS,WestEuro,DGS
night,German,E,true,palm,false,true,false,false,right,false,false,false,false,1,Vertical,Vertical,X_left,X_left,X_left true false,X_left_Hs,0,DGS,WestEuro,DGS
not,German,1,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,DGS,WestEuro,DGS
old,German,L_bnb,false,radial_side,false,false,false,false,right,false,false,false,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
other,German,1,true,tip,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false true,Y_down_Or,0,DGS,WestEuro,DGS
person,German,L_nb,false,tip,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
pig,German,5_nb,false,tip,false,false,false,false,right,false,false,false,false,0,nose,head,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
play,German,L_enb,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
rain,German,5,true,palm,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
red,German,1,false,tip,true,true,false,false,right,false,false,false,false,0,chin,head,true false,Hs_Change,true false,Hs,0,DGS,WestEuro,DGS
river,German,E,true,palm,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
salt,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0,DGS,WestEuro,DGS
sea,German,5,false,palm,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_right,X_right,X_right true false,X_right_Hs,0,DGS,WestEuro,DGS
sharp,German,E,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
short,German,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,DGS,WestEuro,DGS
