english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,annotator,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL,,
live,Russian,B_b,false,ulnar_side,true,false,false,false,right,false,false,false,false,shi,0,waist,torso,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
long,Russian,1,true,tip,false,false,false,false,right,false,false,false,false,shi,1,Lateral,Lateral,X_right,X_right,X_right,false,false,X_right,0,RSL,EastEuro,RSL
look_for,Russian,V_nb,true,tip,true,false,false,false,right,false,false,false,false,shi,1,Vertical,Vertical,Y_down,Y_down,Y_down,false,false,Y_down,0,RSL,EastEuro,RSL
man,Russian,L_bnb,false,radial_side,true,false,false,false,right,false,false,false,false,shi,0,chin,head,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
meat,Russian,B,false,back_of_fingers,true,false,false,false,right,false,false,false,false,shi,0,below_chin,head,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
moon,Russian,1_b,false,heel,false,true,true,false,right,false,false,false,false,shi,0,Vertical,Vertical,true,true,Or_HS_Change,true,true,Hs_Or,0,RSL,EastEuro,RSL
mother,Russian,E,false,radial_side,false,false,false,false,right,false,false,false,false,shi,0,cheek,head,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
mountain,Russian,B_b,false,finger_fronts,false,false,false,false,right,false,false,false,false,shi,0,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,RSL,EastEuro,RSL
name,Russian,1,false,finger_fronts,true,false,false,false,right,false,false,false,false,shi,0,finger_fronts,hand,Y_up,Y_up,Y_up,false,false,Y_up,0,RSL,EastEuro,RSL
narrow,Russian,E,true,palm,false,false,false,false,right,false,false,false,false,shi,1,Horizontal,Horizontal,X_left,X_left,X_left,false,false,X_left,1,RSL,EastEuro,RSL
new,Russian,E,false,back_of_fingers,false,false,false,false,right,false,false,false,false,shi,0,palm,hand,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
night,Russian,5,true,palm,false,true,false,false,right,false,false,false,false,shi,1,forehead,head,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,RSL,EastEuro,RSL
