"X","Language","Meaning","C1","V1","C2","V2"
390,"Canela-Krahô","BLOW","∅","a","p","ê"
391,"Canela-Krahô","MOVE UP","∅","a","p","i"
392,"Canela-Krahô","KILL (SINGULAR)","p","ĩ","r","∅"
393,"Canela-Krahô","DIE","t","y","k","∅"
394,"Canela-Krahô","GO OUT","k","a","t","o"
395,"Canela-Krahô","BE BORN","k","a","t","o"
396,"Canela-Krahô","PISS","∅","i","t","u"
397,"Canela-Krahô","ROTTEN","kʰ","∅","ɾ","ɔ"
398,"Canela-Krahô","GO (SINGULAR)","t","ẽ","m","∅"
399,"Canela-Krahô","BURN","c","ê","t","∅"
400,"Canela-Krahô","SQUEEZE","j","a","t","ê"
401,"Canela-Krahô","ALL","w","ə̂","r","∅"
402,"Canela-Krahô","WING","j","a","r","a"
403,"Canela-Krahô","IMAGE","k","a","r","õ"
404,"Canela-Krahô","SPIRIT","k","a","r","õ"
405,"Canela-Krahô","THROW (PLURAL)","r","ẽ","n","∅"
406,"Canela-Krahô","TELL","j","a","r","ẽ"
407,"Canela-Krahô","LOOK","r","ĩ","t","∅"
408,"Canela-Krahô","BASKET","kʰ","ə","h","ə"
409,"Canela-Krahô","BIG BIRD","h","ə","k","∅"
410,"Canela-Krahô","FALCON","h","ə","k","∅"
411,"Canela-Krahô","FIRE","k","u","h","y"
412,"Canela-Krahô","PAINT","h","ô","k","∅"
413,"Canela-Krahô","CHILD","j","a","h","ê"
414,"Canela-Krahô","LIE","h","ê","j","∅"
415,"Canela-Krahô","BITE","c","a","r","∅"
416,"Canela-Krahô","HANG (SINGULAR)","c","ô","r","∅"
417,"Canela-Krahô","ENTER (SINGULAR)","∅","a","c","ə"
418,"Canela-Krahô","BE SEATED (SINGULAR)","j","ỹ","r","∅"
419,"Canela-Krahô","TOOTH","c","∅","w","a"
420,"Canela-Krahô","PLACE LAYING DOWN (SINGULAR)","c","i","r","∅"
421,"Canela-Krahô","SWEET POTATO","j","ə","t","∅"
422,"Canela-Krahô","WHO","j","ũ","m","∅"
423,"Canela-Krahô","SING (BIRDS)","kʰ","ə","r","∅"
424,"Canela-Krahô","AXE","kʰ","ə","j","∅"
425,"Canela-Krahô","KNIFE","kʰ","ə","j","∅"
426,"Canela-Krahô","DRINK","∅","i","kʰ","õ"
427,"Canela-Krahô","THIRST","kʰ","ɔ","ɾ","∅"
428,"Canela-Krahô","EAT (PLURAL)","kʰ","u","ɾ","∅"
429,"Canela-Krahô","STONE","kʰ","ẽ","n","∅"
430,"Canela-Krahô","HAPPY","kʰ","ĩ","n","∅"
431,"Canela-Krahô","LIKE","kʰ","ĩ","n","∅"
432,"Canela-Krahô","HEAD","kʰ","∅","ɾ","ə̃"
433,"Canela-Krahô","COLD","kʰ","∅","ɾ","ɨ"
434,"Canela-Krahô","HOLE","kʰ","∅","ɾ","ɛ"
435,"Canela-Krahô","BE SITTING (PLURAL)","kʰ","∅","ɾ","ĩ"
436,"Canela-Krahô","SNAKE","k","a","ŋ","ə̃"
437,"Canela-Krahô","LIQUID","k","a","k","ɔ"
438,"Canela-Krahô","DRY","k","∅","ɾ","ə"
439,"Canela-Krahô","EGG","k","∅","ɾ","ɛ"
440,"Canela-Krahô","VAGINA","k","∅","ɾ","ɛ"
441,"Canela-Krahô","DANCE","k","∅","ɾ","ɛ"
442,"Canela-Krahô","SING","k","∅","ɾ","ɛ"
443,"Canela-Krahô","ROAST (PLURAL)","c","ə","ɾ","∅"
444,"Canela-Krahô","SLEEP","ŋ","õ","ɾ","∅"
445,"Gavião-Pyhcopji","FARM","p","o̤","r","∅"
446,"Gavião-Pyhcopji","FISH","∅","aː","p","i"
447,"Gavião-Pyhcopji","POUR","k","aː","p","ẽ̤"
448,"Gavião-Pyhcopji","PATH","p","∅","r","ə̤ː"
